Code;pop;esperance;empreinte_eco;HPI;PIB_hab
CRI;4949,955;79,9;2,568161027;64,1664918;19749,16744
VUT;285,499;70,2;1,63855;59,10720478;3116,645194
COL;48909,844;76,9;1,91120352;58,6797165;14219,53282
CHE;8455,797;83,5;4,474964779;57,00842613;66910,5737
ECU;16785,356;76,6;1,713983053;57,50511403;11617,90876
PAN;4106,764;78,1;2,270548219;60,10793063;30454,76381
JAM;2920,848;74,3;1,811078493;55,26431443;9598,370957
GTM;16914,979;73,8;1,783268906;58,09636199;8317,364101
HND;9429,016;74,9;1,538064619;58,64685917;5561,996312
URY;3436,645;77,6;2,58218;56,04577268;21324,846
NZL;4702,029;82;4,322969965;55,81019187;42101,39587
PHL;105172,921;71;1,33671735;53,61026026;8120,842309
SLV;6388,124;72,9;1,985553581;56,01473623;8454,058198
GBR;66727,463;81,2;4,200775572;54,51330242;45955,32701
PER;31444,299;76,3;2,146596444;53,45396197;12506,53017
NIC;6384,843;74,1;1,740174226;59,74465975;6004,017296
TJK;8880,27;70,6;0,965336517;57,71557999;3089,530208
NLD;17021,343;82;5,024509566;53,1166972;55264,57036
DOM;10513,111;73,7;1,752746688;53,14711944;16735,33259
ARM;2944,789;74,8;1,79751554;44,36779447;12115,05701
BRA;207833,825;75,5;2,81001845;52,99111082;14519,84913
BGD;159685,421;72,1;0,831657377;48,37629207;4161,089713
MEX;124777,326;74,9;2,623132531;54,11144842;19785,90501
UZB;31959,774;71,4;1,995011429;55,20577972;6518,804687
KGZ;6189,727;71,2;1,55354464;52,55963878;5046,691535
SRB;8829,623;75,7;2,754592084;45,65771779;16664,06071
NPL;27632,682;70,2;1,092066691;48,3830935;3099,306082
THA;69209,817;76,7;2,577403902;52,70447747;17420,56515
DEU;82658,409;81;4,702938114;51,73915277;53121,98768
ESP;46647,425;83,3;4,026419355;51,55928857;39655,15021
FRA;64842,513;82,4;4,602202298;50,6401261;44755,32528
MUS;1264,497;74,7;3,06446719;49,97634013;21415,11611
FIN;5511,372;81,6;5,83504831;51,04208969;47644,42838
SEN;15419,354;67,4;1,160491011;45,35825605;3203,900758
IRL;4753,281;81,9;5,013502757;50,86492353;78051,521
ALB;2884,169;78,3;2,049188713;47,91756054;12811,75944
MDA;4059,687;71,7;1,866907293;48,90989304;11651,31745
NOR;5296,324;82,1;5,775153972;50,53455496;64255,28265
MAR;35581,257;76,2;1,768041014;52,95231399;7314,154487
ITA;60673,694;83,2;4,410827158;49,46967817;41713,90002
SWE;9904,895;82,5;6,076790938;48,06842081;52113,83434
PSE;4747,233;73,7;0,812429998;52,29639146;6401,740891
ARG;43937,143;76,4;3,304015065;49,15572513;23597,11775
IDN;264650,969;71,3;1,661594819;48,27079061;10935,84175
CYP;1179,685;80,7;3,877463304;49,47223476;37766,90166
VEN;29402,48;72,2;2,282610075;45,28177224;
GRC;10569,449;81,9;4,12298257;43,56733884;29233,79663
VNM;94600,643;75,2;2,242731901;48,36464959;7155,745829
ISR;8243,849;82,7;5,5468826;50,57504766;39022,88802
AZE;9845,316;72,7;1,97349664;47,88077778;14121,40694
KHM;16009,413;69,3;1,325940283;45,16385035;3928,373688
ISL;334,395;82,7;6,8228;46,3978659;55274,18912
SVN;2076,395;81;4,895139369;45,7815681;36622,19529
BIH;3351,534;77,1;3,492220488;42,94081871;13797,79022
PRY;6867,058;74;3,090904849;46,51049958;12594,34143
COG;5110,701;64;1,066666789;44,57206784;4274,296414
JPN;127502,728;84,3;4,651207358;47,38539508;41093,50063
CZE;10641,032;79,1;5,471300902;45,65914911;38948,86299
AUT;8819,902;81,3;6,02481835;47,53631933;54342,94786
LKA;21128,028;76,6;1,490568979;47,70705693;12584,10442
SVK;5447,903;77,2;4,413979185;46,43715015;30189,39713
DZA;41389,174;76,5;2,301701722;49,48500728;11737,40935
PRT;10288,527;81,7;4,40181771;45,6479221;33150,20997
