country;2017
Afghanistan;0.506
Angola;0.582
Albania;0.79
Andorra;0.863
United Arab Emirates;0.881
Argentina;0.843
Armenia;0.769
Antigua and Barbuda;0.768
Australia;0.941
Austria;0.919
Azerbaijan;0.754
Burundi;0.434
Belgium;0.929
Benin;0.536
Burkina Faso;0.439
Bangladesh;0.616
Bulgaria;0.811
Bahrain;0.854
Bahamas;0.812
Bosnia and Herzegovina;0.774
Belarus;0.819
Belize;0.714
Bolivia;0.71
Brazil;0.761
Barbados;0.81
Brunei;0.838
Bhutan;0.646
Botswana;0.726
Central African Republic;0.391
Canada;0.926
Switzerland;0.949
Chile;0.847
China;0.75
Cote d'Ivoire;0.525
Cameroon;0.557
Congo, Dem. Rep.;0.475
Congo, Rep.;0.574
Colombia;0.763
Comoros;0.55
Cape Verde;0.66
Costa Rica;0.804
Cuba;0.777
Cyprus;0.878
Czech Republic;0.896
Germany;0.943
Djibouti;0.51
Dominica;0.736
Denmark;0.936
Dominican Republic;0.746
Algeria;0.745
Ecuador;0.76
Egypt;0.698
Eritrea;0.454
Spain;0.903
Estonia;0.885
Ethiopia;0.474
Finland;0.935
Fiji;0.74
France;0.897
Micronesia, Fed. Sts.;0.616
Gabon;0.694
United Kingdom;0.926
Georgia;0.799
Ghana;0.602
Guinea;0.471
Gambia;0.48
Guinea-Bissau;0.47
Equatorial Guinea;0.584
Greece;0.879
Grenada;0.77
Guatemala;0.655
Guyana;0.677
Hong Kong, China;0.941
Honduras;0.63
Croatia;0.845
Haiti;0.505
Hungary;0.846
Indonesia;0.707
India;0.64
Ireland;0.947
Iran;0.787
Iraq;0.667
Iceland;0.943
Israel;0.913
Italy;0.886
Jamaica;0.734
Jordan;0.726
Japan;0.915
Kazakhstan;0.815
Kenya;0.595
Kyrgyz Republic;0.694
Cambodia;0.582
Kiribati;0.627
St. Kitts and Nevis;0.77
South Korea;0.912
Kuwait;0.805
Lao;0.608
Lebanon;0.748
Liberia;0.481
Libya;0.714
St. Lucia;0.759
Liechtenstein;0.916
Sri Lanka;0.775
Lesotho;0.517
Lithuania;0.873
Luxembourg;0.913
Latvia;0.859
Morocco;0.673
Moldova;0.743
Madagascar;0.526
Maldives;0.731
Mexico;0.771
Marshall Islands;0.699
North Macedonia;0.767
Mali;0.427
Malta;0.888
Myanmar;0.572
Montenegro;0.822
Mongolia;0.728
Mozambique;0.446
Mauritania;0.54
Mauritius;0.797
Malawi;0.473
Malaysia;0.805
Namibia;0.644
Niger;0.386
Nigeria;0.531
Nicaragua;0.661
Netherlands;0.939
Norway;0.954
Nepal;0.588
New Zealand;0.926
Oman;0.819
Pakistan;0.55
Panama;0.811
Peru;0.767
Philippines;0.708
Palau;0.822
Papua New Guinea;0.549
Poland;0.873
Portugal;0.858
Paraguay;0.726
Palestine;0.706
Qatar;0.848
Romania;0.821
Russia;0.82
Rwanda;0.535
Saudi Arabia;0.852
Sudan;0.509
Senegal;0.512
Singapore;0.933
Solomon Islands;0.562
Sierra Leone;0.443
El Salvador;0.671
Serbia;0.798
South Sudan;0.426
Sao Tome and Principe;0.619
Suriname;0.732
Slovak Republic;0.855
Slovenia;0.907
Sweden;0.942
Eswatini;0.597
Seychelles;0.789
Syria;0.564
Chad;0.396
Togo;0.506
Thailand;0.765
Tajikistan;0.657
Turkmenistan;0.701
Timor-Leste;0.599
Tonga;0.723
Trinidad and Tobago;0.795
Tunisia;0.734
Turkey;0.814
Tanzania;0.523
Uganda;0.532
Ukraine;0.771
Uruguay;0.814
United States;0.924
Uzbekistan;0.713
St. Vincent and the Grenadines;0.734
Venezuela;0.743
Vietnam;0.696
Vanuatu;0.601
Samoa;0.71
Yemen;0.467
South Africa;0.705
Zambia;0.578
Zimbabwe;0.563
