Data Source;Indicateurs du développement dans le monde;Column1;_1;_59
Country Name;Country Code;Indicator Name;Indicator Code;2017
Aruba;ABW;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
;AFE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.7149547357794
Afghanistan;AFG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;11.1800003051758
;AFW;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.01950535255351
Angola;AGO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.40799999237061
Albanie;ALB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.6199998855591
Andorre;AND;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Le monde arabe;ARB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.8963785642502
Émirats arabes unis;ARE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.46000003814697
Argentine;ARG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.35000038146973
Arménie;ARM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;17.7000007629395
Samoa américaines;ASM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Antigua-et-Barbuda;ATG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Australie;AUS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.59000015258789
Autriche;AUT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.5
Azerbaïdjan;AZE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5
Burundi;BDI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.58899998664856
Belgique;BEL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.09000015258789
Bénin;BEN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.64400005340576
